lead_time,cloud_error_pp,ghi_error_wm2
48,0.0,-22.7
72,0.0,-22.7
24,0.0,-48.5
48,0.0,-49.5
72,0.0,-47.5
24,0.0,54.3
48,0.0,-15.700000000000003
72,0.0,-28.700000000000003
24,0.0,32.3
48,0.0,111.3
72,0.0,-13.700000000000003
24,0.0,-87.80000000000001
48,0.0,-57.80000000000001
72,0.0,-40.80000000000001
24,0.0,-110.0
48,0.0,-49.0
72,0.0,-53.0
24,0.0,-88.0
48,0.0,-116.0
72,0.0,-29.0
24,0.0,-34.3
48,0.0,-37.3
72,0.0,-22.299999999999997
24,0.0,-85.3
48,0.0,-113.3
72,0.0,-115.3
24,0.0,-36.7
48,0.0,-31.700000000000003
72,0.0,-41.7
24,0.0,0.8
48,0.0,-0.2
72,0.0,-0.2
24,0.0,-23.0
48,0.0,-28.0
72,0.0,-26.0
24,0.0,-63.5
48,0.0,-64.5
72,0.0,-67.5
24,0.0,-52.0
48,0.0,-56.0
72,0.0,-81.0
24,0.0,-82.30000000000001
48,0.0,-118.30000000000001
72,0.0,-115.30000000000001
24,0.0,33.5
48,0.0,-56.5
72,0.0,8.5
24,0.0,1.2999999999999972
48,0.0,-30.700000000000003
72,0.0,-66.7
24,0.0,-7.200000000000003
48,0.0,-55.2
72,0.0,-43.2
24,0.0,38.8
48,0.0,36.8
72,0.0,5.799999999999997
24,0.0,-74.5
48,0.0,-35.5
72,0.0,-52.5
24,0.0,-22.200000000000003
48,0.0,-28.200000000000003
72,0.0,-21.200000000000003
24,0.0,0.7
48,0.0,-0.3
72,0.0,-0.3
24,0.0,-17.299999999999997
48,0.0,-34.3
72,0.0,-31.299999999999997
24,0.0,45.0
48,0.0,-67.0
72,0.0,-95.0
24,10.0,41.80000000000001
48,10.0,-99.19999999999999
72,10.0,-38.19999999999999
24,7.0,119.5
48,7.0,-154.5
72,7.0,-69.5
24,0.0,124.69999999999999
48,0.0,-248.3
72,0.0,-169.3
24,0.0,82.30000000000001
48,0.0,-212.7
72,0.0,-147.7
24,0.0,195.2
48,0.0,-112.80000000000001
72,0.0,-117.80000000000001
24,0.0,187.0
48,0.0,-83.0
72,0.0,-104.0
24,0.0,-22.5
48,0.0,-57.5
72,0.0,-21.5
24,0.0,-32.3
48,0.0,-40.3
72,0.0,-41.3
24,0.0,-0.3
48,0.0,-0.3
72,0.0,-0.3
24,0.0,-5.5
48,0.0,-8.5
72,0.0,-8.5
24,0.0,-35.7
48,0.0,-32.7
72,0.0,-34.7
24,0.0,0.7999999999999972
48,0.0,-10.200000000000003
72,0.0,-29.200000000000003
24,0.0,-83.80000000000001
48,0.0,-139.8
72,0.0,-131.8
24,0.0,-185.0
48,0.0,-214.0
72,0.0,-166.0
24,0.0,-75.19999999999999
48,0.0,-135.2
72,0.0,-102.19999999999999
24,0.0,-87.80000000000001
48,0.0,-104.80000000000001
72,0.0,-96.80000000000001
24,0.0,-20.69999999999999
48,0.0,-82.69999999999999
72,0.0,-93.69999999999999
24,-2.0,44.3
48,0.0,-49.7
72,0.0,-68.7
24,-1.0,51.5
48,0.0,20.5
72,0.0,-44.5
24,17.0,1.2000000000000002
48,22.0,1.2000000000000002
72,100.0,0.20000000000000018
24,14.0,-20.19999999999999
48,100.0,-32.19999999999999
72,99.0,-43.19999999999999
24,13.0,-22.30000000000001
48,20.0,-20.30000000000001
72,96.0,-100.30000000000001
24,-59.0,45.19999999999999
48,-50.0,47.19999999999999
72,28.0,-78.80000000000001
24,-35.0,248.0
48,-77.0,262.0
72,-1.0,145.0
24,-63.0,90.5
48,-74.0,102.5
72,1.0,-39.5
24,46.0,-29.799999999999955
48,9.0,18.200000000000045
72,78.0,-135.79999999999995
24,17.0,4.2000000000000455
48,59.0,-44.799999999999955
72,44.0,-32.799999999999955
24,7.0,-16.700000000000045
48,58.0,-86.70000000000005
72,86.0,-152.70000000000005
24,9.0,-11.300000000000011
48,95.0,-119.30000000000001
72,74.0,-94.30000000000001
24,12.0,7.0
48,73.0,-7.0
72,11.0,7.0
24,0.0,-0.20000000000000018
48,0.0,-1.2000000000000002
