lead_time,cloud_cover_fcst,kt_fcst,ghi_fcst,ghi_clear_sky
72,100.0,1.0997542297163294,305.0,277.33469147799656
24,76.0,1.5,152.0,74.44920665694804
48,100.0,1.5,131.0,74.44920665694804
72,90.0,1.5,132.0,74.44920665694804
24,100.0,0.22178879723425315,32.0,144.28140825436563
48,100.0,0.1802033977528307,26.0,144.28140825436563
72,100.0,0.3465449956785206,50.0,144.28140825436563
24,86.0,0.5901290305167527,205.0,347.3816562125229
48,100.0,0.4145296604605482,144.0,347.3816562125229
72,100.0,0.47210322441340213,164.0,347.3816562125229
24,100.0,0.8073316719727013,418.0,517.7549878337165
48,100.0,0.6064644617211201,314.0,517.7549878337165
72,100.0,0.7397321300611115,383.0,517.7549878337165
24,100.0,0.7237023068920162,460.0,635.6204693826362
48,78.0,0.8794556294622545,559.0,635.6204693826362
72,100.0,0.7221290410074683,459.0,635.6204693826362
24,18.0,0.9767742128182261,675.0,691.0501845175297
48,19.0,0.968091775370953,669.0,691.0501845175297
72,100.0,0.7626074224521558,527.0,691.0501845175297
24,14.0,1.0283329244107902,699.0,679.7409510159466
48,59.0,1.0180348836799238,692.0,679.7409510159466
72,97.0,0.8988718409370425,611.0,679.7409510159466
24,19.0,1.082050233475921,652.0,602.5598256243147
48,58.0,1.0754118884852713,648.0,602.5598256243147
72,15.0,1.0837098197235835,653.0,602.5598256243147
24,12.0,1.1640835767387265,542.0,465.6023079704092
48,14.0,1.1662313324153661,543.0,465.6023079704092
72,100.0,0.8311814468595704,387.0,465.6023079704092
24,100.0,1.2022077014874177,338.0,281.149421669661
48,96.0,1.2982420445056435,365.0,281.149421669661
72,100.0,1.2128781840449985,341.0,281.149421669661
24,100.0,1.5,164.0,77.39828507368647
48,100.0,1.5,157.0,77.39828507368647
72,100.0,1.5,120.0,77.39828507368647
24,5.0,0.4477988278215766,66.0,147.38761224783153
48,5.0,0.4410139970970072,65.0,147.38761224783153
72,5.0,0.4410139970970072,65.0,147.38761224783153
24,5.0,0.7435377385121738,261.0,351.02454990685953
48,10.0,0.7378401313205095,259.0,351.02454990685953
72,82.0,0.6922592737871962,243.0,351.02454990685953
24,5.0,0.864499470837659,451.0,521.6891568053852
48,100.0,0.7878254601203499,411.0,521.6891568053852
72,5.0,0.864499470837659,451.0,521.6891568053852
24,6.0,0.9394245279799732,601.0,639.7533618717822
48,91.0,0.8737742281876956,559.0,639.7533618717822
72,11.0,0.93629832322796,599.0,639.7533618717822
24,10.0,0.9894987909399777,688.0,695.3015064792875
48,7.0,0.9923752409136404,690.0,695.3015064792875
72,67.0,0.9823076660058209,683.0,695.3015064792875
24,11.0,1.0423552436736465,713.0,684.0278343946576
48,10.0,1.037969457234627,710.0,684.0278343946576
72,100.0,0.9531775860802489,652.0,684.0278343946576
24,100.0,0.9986885665810535,606.0,606.7957722542096
48,16.0,1.0959206217432353,665.0,606.7957722542096
72,44.0,1.0959206217432353,665.0,606.7957722542096
24,11.0,1.177362846364203,553.0,469.6937751243903
48,76.0,1.0836847898722952,509.0,469.6937751243903
72,100.0,1.1241366779028916,528.0,469.6937751243903
24,10.0,1.3615862020758185,388.0,284.961759606899
48,77.0,1.2738551323544383,363.0,284.961759606899
72,100.0,1.1510316347445062,328.0,284.961759606899
24,6.0,1.5,191.0,80.36698630308162
48,100.0,1.5,174.0,80.36698630308162
72,48.0,1.5,185.0,80.36698630308162
24,0.0,0.43829365101166434,66.0,150.58397457425988
48,0.0,0.4449344639057805,67.0,150.58397457425988
72,0.0,0.4449344639057805,67.0,150.58397457425988
24,0.0,0.7300992012175428,259.0,354.7463133339705
48,0.0,0.7329181170523595,260.0,354.7463133339705
72,0.0,0.7329181170523595,260.0,354.7463133339705
24,0.0,0.8503134832288605,447.0,525.6884770339349
48,0.0,0.8541180178294371,449.0,525.6884770339349
72,0.0,0.8541180178294371,449.0,525.6884770339349
24,0.0,0.924004673943235,595.0,643.9361366656387
48,0.0,0.9286635210387472,598.0,643.9361366656387
72,0.0,0.9271105720069098,597.0,643.9361366656387
24,0.0,0.9748605298166523,682.0,699.587252884541
48,0.0,0.9834370154162123,688.0,699.587252884541
72,0.0,0.9834370154162123,688.0,699.587252884541
24,0.0,1.022758241606082,704.0,688.334712311365
48,0.0,1.0300221495720343,709.0,688.334712311365
72,0.0,1.0300221495720343,709.0,688.334712311365
24,0.0,1.0719439060850304,655.0,611.0394361885976
48,0.0,1.0817632395758856,661.0,611.0394361885976
72,0.0,1.085036350739504,663.0,611.0394361885976
24,0.0,1.150313265214995,545.0,473.78398257290274
48,0.0,1.1587559313817104,549.0,473.78398257290274
72,0.0,1.1650879310067472,552.0,473.78398257290274
24,0.0,1.3228551812937956,382.0,288.7693266819967
48,0.0,1.3332440963301342,385.0,288.7693266819967
