solar_bin,lead,month,site,n,n_valid,median,p90,p95,p99,max,p_gt_1,p_gt_1_2,p_gt_1_5,p_gt_2,p_gt_3,p_gt_5
>50,D+1,2024-03,changzhou_1,92.0,92.0,0.7649643583130883,1.0392235216683792,1.0602056230344046,1.0735092445880425,1.087483703206944,0.20652173913043478,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,huai_an_1,77.0,77.0,0.8518914457137328,1.0474632158774047,1.067885951222783,1.0805432060917324,1.0908692783919371,0.22077922077922077,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,huai_an_2,70.0,70.0,0.9103669473702041,1.051155290903672,1.07033489735429,1.0972154815712585,1.1028787200600678,0.2714285714285714,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,huai_an_3,80.0,80.0,0.8741073391069832,1.0537199511875768,1.0680070144918106,1.0847911887599089,1.1037936862380189,0.275,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,lianyungang_1,62.0,62.0,0.962213100745869,1.0582577313541528,1.0764048379450173,1.097701847885648,1.099050363681231,0.3870967741935484,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,lianyungang_2,62.0,62.0,0.9567226286015857,1.0485462610820226,1.0590801491275816,1.0895858443089752,1.0901117173833441,0.3064516129032258,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,nanjing_1,90.0,90.0,0.855442217522488,1.0378593357111094,1.068774429234532,1.0798261553210988,1.0859118081260344,0.2111111111111111,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,nanjing_2,93.0,93.0,0.8401133741505045,1.050219074507534,1.0657639026132026,1.0902016851448055,1.1002963459589283,0.23655913978494625,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,nantong_1,87.0,87.0,0.8601244955979145,1.021163175431584,1.0486211874912856,1.062537787058666,1.0715676261622022,0.1839080459770115,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,nantong_2,86.0,86.0,0.9232340214193717,1.066080596266394,1.0806197290937227,1.1299511941054659,1.1454777299617744,0.3372093023255814,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,suqian_1,71.0,71.0,0.911395420968887,1.0684729976200171,1.0876726288562608,1.099604252776906,1.1036727532054869,0.3380281690140845,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,suzhou_1,91.0,91.0,0.8502915153617504,1.0345378548808517,1.0582830992106378,1.0845938181691928,1.0925945103469712,0.1978021978021978,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,taizhou_1,81.0,81.0,0.8491789307361474,1.0413430129955619,1.060324553276225,1.0827872133275693,1.0833121026885755,0.2222222222222222,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,taizhou_2,78.0,78.0,0.8287488199943276,1.0171545060062095,1.0478439111291538,1.0720248497501188,1.0798453258916487,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,wuxi_1,95.0,95.0,0.8367603390836392,1.0642291568543742,1.0864693498859392,1.1094301878087136,1.1223810178750897,0.28421052631578947,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,xuzhou_1,66.0,66.0,0.9516468671856406,1.0832531334032756,1.10597105786194,1.125127015649325,1.1295137763366694,0.42424242424242425,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,xuzhou_2,68.0,68.0,0.9387180333557601,1.078907192308032,1.1029113469695755,1.1210807535859095,1.128914865720044,0.36764705882352944,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,yancheng_1,69.0,69.0,0.8944619856691779,1.0426123970325794,1.0627112709415034,1.093876553768541,1.0960392410339983,0.2463768115942029,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,yancheng_2,75.0,75.0,0.8462507553115853,1.0325105150600429,1.0562739129550558,1.0858790600663664,1.0886857209507563,0.17333333333333334,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-03,yancheng_3,77.0,77.0,0.8743590756117634,1.0428688259193848,1.0617017353873144,1.079681232160854,1.0911205923239702,0.2077922077922078,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,changzhou_1,150.0,150.0,0.7685029419446963,1.0284310258133254,1.0590762163240175,1.1077897703516435,1.1276845414911858,0.18,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,huai_an_1,147.0,147.0,0.9217448767876334,1.0519604558228046,1.0858373607434617,1.111107378053546,1.1163780331140394,0.30612244897959184,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,huai_an_2,145.0,145.0,0.9482601538873054,1.0663406204699535,1.0927555291785542,1.110153563751062,1.1297105141524733,0.3103448275862069,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,huai_an_3,145.0,145.0,0.8994203157768921,1.054344091303381,1.083264340309057,1.112239812693745,1.1194468959373165,0.27586206896551724,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,lianyungang_1,142.0,142.0,0.9555629771207981,1.0743981962369258,1.103320750541739,1.1238256065227175,1.1350127266244325,0.31690140845070425,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,lianyungang_2,144.0,144.0,0.9439758376618632,1.0621604122349546,1.0879492352954887,1.104723440645903,1.1293801321206611,0.2638888888888889,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,nanjing_1,147.0,147.0,0.7865488930613416,1.0363590176644863,1.0668328058272096,1.0989803552907043,1.1280496424001634,0.17687074829931973,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,nanjing_2,149.0,149.0,0.6956956096546185,1.018614069949361,1.0530600444915925,1.0918271872824743,1.1347565143344107,0.1342281879194631,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,nantong_1,150.0,150.0,0.7055295702625223,1.0392878585294194,1.0678334865296062,1.099568890737529,1.1182950978879995,0.18,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,nantong_2,150.0,150.0,0.6804821079788477,1.0814106685670315,1.1136703737342484,1.1677379784268744,1.1881580751960215,0.23333333333333334,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,suqian_1,143.0,143.0,0.9427880211675338,1.071795572463269,1.0872702011851225,1.1163165111089548,1.1243271085882984,0.3076923076923077,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,suzhou_1,150.0,150.0,0.6903993697293261,1.0571549711371382,1.085544816418626,1.1288685907484106,1.1435969529654513,0.20666666666666667,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,taizhou_1,148.0,148.0,0.8792897737951173,1.0441017719706678,1.0793370080756761,1.1071906685439377,1.1156761292144135,0.20945945945945946,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,taizhou_2,150.0,150.0,0.8845086492655134,1.0423444126326682,1.0753900326467545,1.1047755417972396,1.1179290814961755,0.20666666666666667,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,wuxi_1,150.0,150.0,0.609545963985276,1.0429043772984365,1.0778118094195828,1.1388418594392555,1.177454982764626,0.17333333333333334,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,xuzhou_1,138.0,138.0,0.9656068390534212,1.0800676122560835,1.1033156272661948,1.1421335895613136,1.1461218054930598,0.35507246376811596,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,xuzhou_2,141.0,141.0,0.9411226894704285,1.0793665384740263,1.1041563139752997,1.1359139695477278,1.142789800498908,0.3617021276595745,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,yancheng_1,146.0,146.0,0.948500969253163,1.0685099413443404,1.0966423721286955,1.1145449036248947,1.124887536722487,0.3219178082191781,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,yancheng_2,149.0,149.0,0.9006033767456144,1.0546812133695886,1.0868595495639712,1.1174550719496212,1.12602873573649,0.26174496644295303,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-04,yancheng_3,148.0,148.0,0.9241776662787393,1.0514429013108748,1.0793333123804971,1.1055073788034473,1.1137470128907678,0.2702702702702703,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,changzhou_1,155.0,155.0,0.9306276203797377,1.0950180446914441,1.1103214741074343,1.1385476391227312,1.166053960893554,0.32903225806451614,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,huai_an_1,155.0,155.0,0.997338693725041,1.098113216172005,1.1175616874989744,1.1536968670432532,1.1727626701783629,0.49032258064516127,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,huai_an_2,155.0,155.0,0.9951668110857731,1.0989902238294265,1.114923080983016,1.142505692671913,1.1642325562481795,0.47096774193548385,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,huai_an_3,155.0,155.0,0.9937686876611554,1.1011577739389469,1.1253659592079408,1.1478927553802438,1.1757781330632762,0.4774193548387097,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,lianyungang_1,155.0,155.0,0.9979815357849159,1.096379544970603,1.113173328605003,1.1505173108256235,1.1636073538972191,0.4838709677419355,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,lianyungang_2,155.0,155.0,0.9747579907894285,1.0780337025209732,1.0976498886175925,1.1411101385638864,1.1446507718448329,0.3741935483870968,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,nanjing_1,155.0,155.0,0.9631467849965438,1.1019189590298497,1.1150671559910348,1.1506510507114933,1.1769267960078293,0.4,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,nanjing_2,155.0,155.0,0.9536948707157625,1.0995670920380367,1.1209961977931262,1.1501546747657756,1.1767626103697013,0.3741935483870968,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,nantong_1,164.0,164.0,0.9626826950573674,1.0900661570641128,1.1169141691801678,1.1351703341042239,1.16233511949835,0.35365853658536583,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,nantong_2,171.0,171.0,0.9680351585665893,1.1192724742334108,1.1427541449597427,1.170572103489732,1.1926979306483705,0.4152046783625731,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,suqian_1,155.0,155.0,1.0010780618549544,1.1065971870555629,1.1245239874730504,1.149885808227654,1.1637540293672193,0.5032258064516129,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,suzhou_1,164.0,164.0,0.9573902597076709,1.101751108914684,1.1259066138474843,1.1468374707800106,1.1735290079554954,0.3597560975609756,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,taizhou_1,155.0,155.0,0.9871602406132254,1.093265573701014,1.112798050865677,1.1463022780654213,1.1635974045495594,0.44516129032258067,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,taizhou_2,155.0,155.0,1.000024944773171,1.1038308932274403,1.1173385797466031,1.1524005672820268,1.1633647175751578,0.5032258064516129,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,wuxi_1,155.0,155.0,0.9695215108371915,1.1195034090832483,1.1403719409066306,1.1707587796343202,1.1982713762633586,0.4258064516129032,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,xuzhou_1,166.0,166.0,1.018219823919766,1.1222856361320357,1.1573062994809487,1.191183534210448,1.2029009995934545,0.6144578313253012,0.006024096385542169,0.0,0.0,0.0,0.0
>50,D+1,2024-05,xuzhou_2,160.0,160.0,1.0135758493156062,1.1144207068697831,1.1374596201701501,1.1638913034914995,1.1775667452923624,0.55625,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,yancheng_1,155.0,155.0,1.001701348483036,1.099510081116282,1.1116070087489713,1.1409444121777608,1.1643957204419086,0.5096774193548387,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,yancheng_2,155.0,155.0,0.9990538122883447,1.1124351695431154,1.1248921534898404,1.1587806910346756,1.1741261540079115,0.4967741935483871,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-05,yancheng_3,155.0,155.0,0.9928668839690824,1.0921707097486044,1.1090751397561625,1.1414785283552866,1.1652952572075266,0.49032258064516127,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,changzhou_1,163.0,163.0,0.49786362944838775,1.026416369736551,1.0439856927425504,1.092948223543911,1.1085813227418588,0.15950920245398773,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,huai_an_1,167.0,167.0,0.9272511758399599,1.0625974448054794,1.0992363497193502,1.1346004718234457,1.142210384162113,0.2874251497005988,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,huai_an_2,167.0,167.0,0.9461622265141469,1.0792368835521102,1.1081718394627755,1.1476516153523562,1.1495864388997707,0.3473053892215569,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,huai_an_3,176.0,176.0,0.9475291878160059,1.0820975951004284,1.1046536747062652,1.1453474479301613,1.1591816482110326,0.3181818181818182,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,lianyungang_1,175.0,175.0,0.9810698877540589,1.1102615808300884,1.1393831552120082,1.171669921876856,1.1803031092287346,0.44571428571428573,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,lianyungang_2,166.0,166.0,0.9612038369793927,1.0761699350512188,1.102868539228819,1.157096413303519,1.1696036419474525,0.3253012048192771,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,nanjing_1,177.0,177.0,0.7027495441452813,1.0405236895422463,1.0858644558553021,1.1236827917279797,1.1485074856129356,0.20903954802259886,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,nanjing_2,172.0,172.0,0.6415528407663695,1.0494014669192901,1.0792857301864278,1.1354448067415304,1.1497791954924186,0.22093023255813954,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,nantong_1,172.0,172.0,0.8449401584688379,1.0487662572206724,1.072968549644299,1.107610735631024,1.1198439682964483,0.21511627906976744,0.0,0.0,0.0,0.0,0.0
>50,D+1,2024-06,nantong_2,180.0,180.0,0.7797787194049715,1.055491160475877,1.0856079398557545,1.1301380495094921,1.1416532691183847,0.2388888888888889,0.0,0.0,0.0,0.0,0.0
