lead,month,daylight,site,n,p_cloud_eq_0,p_cloud_eq_100,p_cloud_between,p_cloud_outside_0_100,unique_values
D+3,2025-04,night,taizhou_2,330.0,0.21515151515151515,0.5787878787878787,0.20303030303030303,0.0030303030303030303,32.0
D+3,2025-04,night,wuxi_1,330.0,0.18484848484848485,0.6151515151515151,0.2,0.0,23.0
D+3,2025-04,night,xuzhou_1,331.0,0.32326283987915405,0.459214501510574,0.21450151057401812,0.0030211480362537764,37.0
D+3,2025-04,night,xuzhou_2,330.0,0.2818181818181818,0.4696969696969697,0.24848484848484848,0.0,39.0
D+3,2025-04,night,yancheng_1,330.0,0.2787878787878788,0.5454545454545454,0.17575757575757575,0.0,22.0
D+3,2025-04,night,yancheng_2,330.0,0.23030303030303031,0.5424242424242425,0.22727272727272727,0.0,37.0
D+3,2025-04,night,yancheng_3,330.0,0.24848484848484848,0.5757575757575758,0.17575757575757575,0.0,26.0
D+3,2025-05,day,changzhou_1,409.0,0.19315403422982885,0.5794621026894865,0.22493887530562348,0.0024449877750611247,53.0
D+3,2025-05,day,huai_an_1,421.0,0.23990498812351543,0.5558194774346793,0.2042755344418052,0.0,41.0
D+3,2025-05,day,huai_an_2,427.0,0.3161592505854801,0.5175644028103045,0.16393442622950818,0.00234192037470726,31.0
D+3,2025-05,day,huai_an_3,418.0,0.2535885167464115,0.5191387559808612,0.22488038277511962,0.0023923444976076554,45.0
D+3,2025-05,day,lianyungang_1,431.0,0.3039443155452436,0.44547563805104406,0.2505800464037123,0.0,45.0
D+3,2025-05,day,lianyungang_2,431.0,0.3039443155452436,0.4756380510440835,0.22041763341067286,0.0,45.0
D+3,2025-05,day,nanjing_1,411.0,0.19708029197080293,0.5766423357664233,0.22627737226277372,0.0,45.0
D+3,2025-05,day,nanjing_2,406.0,0.1896551724137931,0.5985221674876847,0.21182266009852216,0.0,45.0
D+3,2025-05,day,nantong_1,420.0,0.24047619047619048,0.5761904761904761,0.18095238095238095,0.002380952380952381,43.0
D+3,2025-05,day,nantong_2,424.0,0.21462264150943397,0.5754716981132075,0.20754716981132076,0.0023584905660377358,41.0
D+3,2025-05,day,suqian_1,424.0,0.27358490566037735,0.46462264150943394,0.25707547169811323,0.0047169811320754715,45.0
D+3,2025-05,day,suzhou_1,419.0,0.1909307875894988,0.6133651551312649,0.1957040572792363,0.0,43.0
D+3,2025-05,day,taizhou_1,419.0,0.24105011933174225,0.5560859188544153,0.20286396181384247,0.0,38.0
D+3,2025-05,day,taizhou_2,420.0,0.25,0.5523809523809524,0.1976190476190476,0.0,45.0
D+3,2025-05,day,wuxi_1,411.0,0.18491484184914841,0.6155717761557178,0.19708029197080293,0.0024330900243309003,41.0
D+3,2025-05,day,xuzhou_1,430.0,0.2813953488372093,0.45348837209302323,0.2651162790697674,0.0,50.0
D+3,2025-05,day,xuzhou_2,425.0,0.29411764705882354,0.4588235294117647,0.24705882352941178,0.0,43.0
D+3,2025-05,day,yancheng_1,427.0,0.33021077283372363,0.5269320843091335,0.14285714285714285,0.0,23.0
D+3,2025-05,day,yancheng_2,421.0,0.24465558194774348,0.5534441805225653,0.20190023752969122,0.0,44.0
D+3,2025-05,day,yancheng_3,421.0,0.25415676959619954,0.5795724465558195,0.166270783847981,0.0,27.0
D+3,2025-05,night,changzhou_1,335.0,0.18208955223880596,0.6507462686567164,0.16716417910447762,0.0,30.0
D+3,2025-05,night,huai_an_1,323.0,0.20123839009287925,0.6068111455108359,0.19195046439628483,0.0,36.0
D+3,2025-05,night,huai_an_2,317.0,0.26813880126182965,0.555205047318612,0.17665615141955837,0.0,28.0
D+3,2025-05,night,huai_an_3,326.0,0.22392638036809817,0.6165644171779141,0.15950920245398773,0.0,29.0
D+3,2025-05,night,lianyungang_1,313.0,0.31309904153354634,0.48242811501597443,0.20447284345047922,0.0,33.0
D+3,2025-05,night,lianyungang_2,313.0,0.31629392971246006,0.536741214057508,0.14696485623003194,0.0,26.0
D+3,2025-05,night,nanjing_1,333.0,0.2042042042042042,0.6066066066066066,0.1891891891891892,0.0,30.0
D+3,2025-05,night,nanjing_2,338.0,0.17751479289940827,0.6597633136094675,0.16272189349112426,0.0,28.0
D+3,2025-05,night,nantong_1,324.0,0.18209876543209877,0.6388888888888888,0.17901234567901234,0.0,38.0
D+3,2025-05,night,nantong_2,320.0,0.165625,0.64375,0.190625,0.0,37.0
D+3,2025-05,night,suqian_1,320.0,0.284375,0.50625,0.209375,0.0,36.0
