outer_fold,inner_fold,group,repeat,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_2,inner_1,meteorology,0,585,30.886233810964963,35.1863407207529,4.300106909787939
outer_2,inner_1,meteorology,1,585,30.886233810964963,35.25569024190206,4.369456430937095
outer_2,inner_1,meteorology,2,585,30.886233810964963,34.067152064554556,3.180918253589592
outer_2,inner_1,solar_geometry,0,585,30.886233810964963,35.565726845055806,4.679493034090843
outer_2,inner_1,solar_geometry,1,585,30.886233810964963,35.03550845130213,4.149274640337165
outer_2,inner_1,solar_geometry,2,585,30.886233810964963,35.66236779945087,4.776133988485906
outer_2,inner_1,temporal_dynamics,0,585,30.886233810964963,34.19476419673929,3.308530385774329
outer_2,inner_1,temporal_dynamics,1,585,30.886233810964963,33.9894846151072,3.103250804142238
outer_2,inner_1,temporal_dynamics,2,585,30.886233810964963,33.566250777747335,2.6800169667823717
outer_2,inner_2,radiation,0,546,30.00699029089944,77.69749772900495,47.69050743810551
outer_2,inner_2,radiation,1,546,30.00699029089944,79.00896102404336,49.00197073314392
outer_2,inner_2,radiation,2,546,30.00699029089944,78.6785823583541,48.67159206745467
outer_2,inner_2,clear_sky_kt,0,546,30.00699029089944,34.95319327840763,4.94620298750819
outer_2,inner_2,clear_sky_kt,1,546,30.00699029089944,35.13933333797477,5.132343047075327
outer_2,inner_2,clear_sky_kt,2,546,30.00699029089944,35.2013019310865,5.194311640187056
outer_2,inner_2,cloud,0,546,30.00699029089944,30.195538724247015,0.18854843334757376
outer_2,inner_2,cloud,1,546,30.00699029089944,29.869261781447882,-0.13772850945155923
outer_2,inner_2,cloud,2,546,30.00699029089944,29.69275958722839,-0.31423070367105055
outer_2,inner_2,meteorology,0,546,30.00699029089944,34.357423261996104,4.350432971096662
outer_2,inner_2,meteorology,1,546,30.00699029089944,34.26282776686198,4.25583747596254
outer_2,inner_2,meteorology,2,546,30.00699029089944,34.73693390743799,4.729943616538545
outer_2,inner_2,solar_geometry,0,546,30.00699029089944,34.76886029279639,4.761870001896948
outer_2,inner_2,solar_geometry,1,546,30.00699029089944,34.80550593535597,4.798515644456526
outer_2,inner_2,solar_geometry,2,546,30.00699029089944,34.608503756330535,4.601513465431093
outer_2,inner_2,temporal_dynamics,0,546,30.00699029089944,33.09406643887299,3.0870761479735513
outer_2,inner_2,temporal_dynamics,1,546,30.00699029089944,32.98201616753537,2.9750258766359288
outer_2,inner_2,temporal_dynamics,2,546,30.00699029089944,33.019000255237245,3.0120099643378033
outer_2,inner_3,radiation,0,546,28.603406849456277,58.351324487671945,29.747917638215668
outer_2,inner_3,radiation,1,546,28.603406849456277,61.43261092226221,32.82920407280593
outer_2,inner_3,radiation,2,546,28.603406849456277,64.08627832231693,35.48287147286065
outer_2,inner_3,clear_sky_kt,0,546,28.603406849456277,30.897109833562872,2.293702984106595
outer_2,inner_3,clear_sky_kt,1,546,28.603406849456277,31.293463068695594,2.6900562192393167
outer_2,inner_3,clear_sky_kt,2,546,28.603406849456277,31.081745470008897,2.47833862055262
outer_2,inner_3,cloud,0,546,28.603406849456277,29.338574262664622,0.7351674132083446
outer_2,inner_3,cloud,1,546,28.603406849456277,29.804140514858208,1.2007336654019305
outer_2,inner_3,cloud,2,546,28.603406849456277,29.85677903189186,1.2533721824355837
outer_2,inner_3,meteorology,0,546,28.603406849456277,32.2716516273995,3.6682447779432223
outer_2,inner_3,meteorology,1,546,28.603406849456277,31.67939711515303,3.0759902656967526
outer_2,inner_3,meteorology,2,546,28.603406849456277,31.061060610640062,2.457653761183785
outer_2,inner_3,solar_geometry,0,546,28.603406849456277,31.380548013166056,2.7771411637097785
outer_2,inner_3,solar_geometry,1,546,28.603406849456277,30.880962068276176,2.2775552188198986
outer_2,inner_3,solar_geometry,2,546,28.603406849456277,31.078837379232443,2.4754305297761654
outer_2,inner_3,temporal_dynamics,0,546,28.603406849456277,29.61243629580184,1.0090294463455614
outer_2,inner_3,temporal_dynamics,1,546,28.603406849456277,29.755787568827188,1.1523807193709104
outer_2,inner_3,temporal_dynamics,2,546,28.603406849456277,29.54190114448954,0.9384942950332622
outer_3,inner_1,radiation,0,462,18.61201662114751,63.81658360449019,45.20456698334268
outer_3,inner_1,radiation,1,462,18.61201662114751,56.65812713995913,38.046110518811616
outer_3,inner_1,radiation,2,462,18.61201662114751,60.8609477250169,42.24893110386939
outer_3,inner_1,clear_sky_kt,0,462,18.61201662114751,22.40506995392855,3.7930533327810387
outer_3,inner_1,clear_sky_kt,1,462,18.61201662114751,22.327547036794467,3.715530415646956
outer_3,inner_1,clear_sky_kt,2,462,18.61201662114751,22.334402851344294,3.7223862301967827
outer_3,inner_1,cloud,0,462,18.61201662114751,18.99448264535092,0.3824660242034099
outer_3,inner_1,cloud,1,462,18.61201662114751,18.918874984400706,0.3068583632531947
outer_3,inner_1,cloud,2,462,18.61201662114751,18.698388806217682,0.08637218507017153
outer_3,inner_1,meteorology,0,462,18.61201662114751,22.177708300482248,3.565691679334737
outer_3,inner_1,meteorology,1,462,18.61201662114751,23.075117236773337,4.463100615625827
outer_3,inner_1,meteorology,2,462,18.61201662114751,23.77572878326959,5.163712162122078
outer_3,inner_1,solar_geometry,0,462,18.61201662114751,20.753520585038927,2.1415039638914166
outer_3,inner_1,solar_geometry,1,462,18.61201662114751,20.952842832423947,2.340826211276436
outer_3,inner_1,solar_geometry,2,462,18.61201662114751,20.73803879241315,2.126022171265639
outer_3,inner_1,temporal_dynamics,0,462,18.61201662114751,20.67326976328159,2.0612531421340776
outer_3,inner_1,temporal_dynamics,1,462,18.61201662114751,21.298543790380027,2.686527169232516
outer_3,inner_1,temporal_dynamics,2,462,18.61201662114751,20.438802127861493,1.826785506713982
outer_3,inner_2,radiation,0,462,17.618220582335635,67.1576483586529,49.53942777631727
outer_3,inner_2,radiation,1,462,17.618220582335635,63.582173833318976,45.96395325098334
outer_3,inner_2,radiation,2,462,17.618220582335635,62.41394384660207,44.79572326426644
outer_3,inner_2,clear_sky_kt,0,462,17.618220582335635,22.24464220682541,4.626421624489776
outer_3,inner_2,clear_sky_kt,1,462,17.618220582335635,21.95713127319526,4.338910690859624
outer_3,inner_2,clear_sky_kt,2,462,17.618220582335635,22.352964154364834,4.734743572029199
outer_3,inner_2,cloud,0,462,17.618220582335635,17.59047938168844,-0.02774120064719554
outer_3,inner_2,cloud,1,462,17.618220582335635,17.62618830466701,0.007967722331375882
outer_3,inner_2,cloud,2,462,17.618220582335635,17.705037483895637,0.08681690156000244
outer_3,inner_2,meteorology,0,462,17.618220582335635,22.12856525756235,4.510344675226715
outer_3,inner_2,meteorology,1,462,17.618220582335635,22.484330221735288,4.866109639399653
outer_3,inner_2,meteorology,2,462,17.618220582335635,21.821815264168407,4.203594681832772
outer_3,inner_2,solar_geometry,0,462,17.618220582335635,19.830795903730078,2.212575321394443
outer_3,inner_2,solar_geometry,1,462,17.618220582335635,19.84430002140801,2.2260794390723753
outer_3,inner_2,solar_geometry,2,462,17.618220582335635,19.841790896574498,2.223570314238863
outer_3,inner_2,temporal_dynamics,0,462,17.618220582335635,19.428969690134778,1.8107491077991433
outer_3,inner_2,temporal_dynamics,1,462,17.618220582335635,19.2934194025866,1.6751988202509658
outer_3,inner_2,temporal_dynamics,2,462,17.618220582335635,19.40726800095369,1.789047418618054
outer_3,inner_3,radiation,0,456,14.86161985067175,57.69873185943614,42.837112008764386
outer_3,inner_3,radiation,1,456,14.86161985067175,62.47271579286889,47.61109594219714
outer_3,inner_3,radiation,2,456,14.86161985067175,57.11136083756978,42.249740986898026
outer_3,inner_3,clear_sky_kt,0,456,14.86161985067175,19.090504483598234,4.228884632926485
outer_3,inner_3,clear_sky_kt,1,456,14.86161985067175,19.055251718670814,4.1936318679990645
outer_3,inner_3,clear_sky_kt,2,456,14.86161985067175,18.956825872527773,4.095206021856024
outer_3,inner_3,cloud,0,456,14.86161985067175,17.1196146351704,2.257994784498651
outer_3,inner_3,cloud,1,456,14.86161985067175,16.87482241776904,2.0132025670972897
outer_3,inner_3,cloud,2,456,14.86161985067175,17.36734249921089,2.5057226485391393
outer_3,inner_3,meteorology,0,456,14.86161985067175,19.184014676079666,4.322394825407917
outer_3,inner_3,meteorology,1,456,14.86161985067175,18.99354706574421,4.13192721507246
outer_3,inner_3,meteorology,2,456,14.86161985067175,18.39708677263652,3.5354669219647707
outer_3,inner_3,solar_geometry,0,456,14.86161985067175,16.469642143532216,1.6080222928604666
outer_3,inner_3,solar_geometry,1,456,14.86161985067175,16.589901487418853,1.7282816367471039
outer_3,inner_3,solar_geometry,2,456,14.86161985067175,16.613528750431303,1.7519088997595542
outer_3,inner_3,temporal_dynamics,0,456,14.86161985067175,15.533136412277518,0.6715165616057686
outer_3,inner_3,temporal_dynamics,1,456,14.86161985067175,15.416488250524932,0.5548683998531825
outer_3,inner_3,temporal_dynamics,2,456,14.86161985067175,15.562200383004734,0.7005805323329852
outer_4,inner_1,radiation,0,420,14.21088714285713,75.37185214094586,61.16096499808873
outer_4,inner_1,radiation,1,420,14.21088714285713,71.76779745453597,57.556910311678834
outer_4,inner_1,radiation,2,420,14.21088714285713,72.4645986751406,58.253711532283475
outer_4,inner_1,clear_sky_kt,0,420,14.21088714285713,17.329309015910848,3.118421873053718
outer_4,inner_1,clear_sky_kt,1,420,14.21088714285713,17.028435693802244,2.817548550945114
outer_4,inner_1,clear_sky_kt,2,420,14.21088714285713,17.485948836877032,3.275061694019902
outer_4,inner_1,cloud,0,420,14.21088714285713,15.031037336082306,0.8201501932251762
outer_4,inner_1,cloud,1,420,14.21088714285713,15.132180947687543,0.9212938048304125
outer_4,inner_1,cloud,2,420,14.21088714285713,15.262701281854257,1.051814138997127
