outer_fold,inner_fold,group,score_rows,baseline_mean_pinball,mean_pinball,delta_vs_full
outer_3,inner_2,meteorology,462,17.618220582335635,20.343486461471226,2.7252658791355913
outer_3,inner_2,solar_geometry,462,17.618220582335635,18.27000525990776,0.6517846775721239
outer_3,inner_2,temporal_dynamics,462,17.618220582335635,17.22197458449747,-0.3962459978381645
outer_3,inner_3,radiation,456,14.86161985067175,16.12942938814874,1.2678095374769907
outer_3,inner_3,clear_sky_kt,456,14.86161985067175,15.180978224720317,0.3193583740485675
outer_3,inner_3,cloud,456,14.86161985067175,15.061001844875259,0.19938199420350955
outer_3,inner_3,meteorology,456,14.86161985067175,16.47810627692542,1.6164864262536707
outer_3,inner_3,solar_geometry,456,14.86161985067175,16.295740225049524,1.434120374377775
outer_3,inner_3,temporal_dynamics,456,14.86161985067175,14.537031454499628,-0.3245883961721212
outer_4,inner_1,radiation,420,14.21088714285713,15.369800069517895,1.158912926660765
outer_4,inner_1,clear_sky_kt,420,14.21088714285713,14.077918559179832,-0.13296858367729847
outer_4,inner_1,cloud,420,14.21088714285713,14.911451775122016,0.7005646322648857
outer_4,inner_1,meteorology,420,14.21088714285713,16.227704658331568,2.016817515474438
outer_4,inner_1,solar_geometry,420,14.21088714285713,14.409511801577862,0.19862465872073187
outer_4,inner_1,temporal_dynamics,420,14.21088714285713,13.541790495061157,-0.669096647795973
outer_4,inner_2,radiation,462,14.792278225868989,15.101106808335476,0.3088285824664876
outer_4,inner_2,clear_sky_kt,462,14.792278225868989,14.735063540473792,-0.057214685395196696
outer_4,inner_2,cloud,462,14.792278225868989,14.855667960707155,0.06338973483816623
outer_4,inner_2,meteorology,462,14.792278225868989,16.77789119600871,1.9856129701397212
outer_4,inner_2,solar_geometry,462,14.792278225868989,14.838908092128277,0.04662986625928767
outer_4,inner_2,temporal_dynamics,462,14.792278225868989,15.03129850364042,0.23902027777143076
outer_4,inner_3,radiation,468,26.954932411983638,29.4602251850706,2.5052927730869605
outer_4,inner_3,clear_sky_kt,468,26.954932411983638,27.867294912124045,0.9123625001404072
outer_4,inner_3,cloud,468,26.954932411983638,27.364478091652458,0.4095456796688204
outer_4,inner_3,meteorology,468,26.954932411983638,26.660184982964765,-0.29474742901887296
outer_4,inner_3,solar_geometry,468,26.954932411983638,27.04563542409096,0.09070301210732268
